latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-2.60956,15.83458,305.88,0.41,0.45,2023-04-26,0001,1,nominal,2.0NRT,287.87,1.12,N
-2.75086,15.85756,313.21,0.41,0.45,2023-04-26,0001,1,nominal,2.0NRT,287.01,1.1,N
-2.7542,15.85677,310.54,0.41,0.45,2023-04-26,0001,1,nominal,2.0NRT,287.06,1.32,N
-2.93688,15.25577,296.41,0.44,0.46,2023-04-26,0001,1,nominal,2.0NRT,276.28,1.23,N
-3.3034,15.08823,299.64,0.45,0.47,2023-04-26,0001,1,nominal,2.0NRT,271.91,1.47,N
-3.30704,15.08368,299.66,0.45,0.47,2023-04-26,0001,1,nominal,2.0NRT,274.01,1.49,N
-3.30775,15.088,318.72,0.45,0.47,2023-04-26,0001,1,nominal,2.0NRT,269.77,1.47,N
-3.56025,14.90294,301.34,0.46,0.47,2023-04-26,0001,1,nominal,2.0NRT,283.18,0.89,N
-27.20897,26.9181,297.87,0.46,0.63,2023-04-26,0005,1,nominal,2.0NRT,282.02,1.19,N
-27.04962,23.56271,316.15,0.56,0.52,2023-04-26,0005,1,nominal,2.0NRT,282.56,3.08,N
-27.0734,23.46365,295.84,0.55,0.51,2023-04-26,0005,1,nominal,2.0NRT,282.2,0.67,N
-28.3595,23.50733,305.11,0.58,0.52,2023-04-26,0005,1,nominal,2.0NRT,283.39,2.17,N
-28.36007,23.51322,300.63,0.58,0.52,2023-04-26,0005,1,nominal,2.0NRT,284.84,2.17,N
-28.79433,20.60851,301.62,0.39,0.44,2023-04-26,0005,1,nominal,2.0NRT,287.89,0.56,N
-29.23565,22.67713,296.08,0.52,0.5,2023-04-26,0005,1,nominal,2.0NRT,284.25,0.24,N
-32.93875,18.76133,308.42,0.53,0.42,2023-04-26,0007,1,nominal,2.0NRT,286.58,2.08,N
-32.96172,18.04946,296.79,0.49,0.4,2023-04-26,0007,1,nominal,2.0NRT,285.45,1.94,N
-33.58736,18.46353,301.01,0.52,0.41,2023-04-26,0007,1,nominal,2.0NRT,285.08,1.16,N
-7.15627,12.34237,307.09,0.59,0.53,2023-04-26,0001,1,nominal,2.0NRT,274.87,4.74,N
-11.23555,27.10378,306.58,0.6,0.53,2023-04-26,0003,1,nominal,2.0NRT,288.7,2.17,N
-11.23628,27.1093,317.02,0.6,0.53,2023-04-26,0003,1,nominal,2.0NRT,288.88,2.79,N
-11.24116,27.10861,319.82,0.6,0.53,2023-04-26,0003,1,nominal,2.0NRT,289.19,2.83,N
-11.0727,21.20041,298.8,0.41,0.37,2023-04-26,0003,1,nominal,2.0NRT,286.55,0.46,N
-12.07356,26.3954,302.09,0.55,0.51,2023-04-26,0003,1,nominal,2.0NRT,287.13,2.39,N
-12.07828,26.39487,313.85,0.55,0.51,2023-04-26,0003,1,nominal,2.0NRT,286.61,2.39,N
-12.6568,28.10347,313.42,0.37,0.58,2023-04-26,0003,1,nominal,2.0NRT,290.03,1.58,N
-13.03391,30.42166,302.38,0.54,0.68,2023-04-26,0003,1,nominal,2.0NRT,284.93,0.73,N
-12.97428,28.72335,300.87,0.41,0.61,2023-04-26,0003,1,nominal,2.0NRT,286.32,1.07,N
-12.97306,28.72436,302.93,0.41,0.61,2023-04-26,0003,1,nominal,2.0NRT,286.04,1.11,N
-13.8299,20.66795,302.82,0.42,0.37,2023-04-26,0003,1,nominal,2.0NRT,283.9,0.92,N
-13.83047,20.67178,311.99,0.42,0.37,2023-04-26,0003,1,nominal,2.0NRT,284.48,0.92,N
-13.67472,18.20118,302.11,0.39,0.36,2023-04-26,0003,1,nominal,2.0NRT,286.13,0.72,N
-13.33228,15.70008,307.76,0.45,0.39,2023-04-26,0003,1,nominal,2.0NRT,287.78,1.1,N
-15.21211,27.02089,313.2,0.34,0.56,2023-04-26,0003,1,nominal,2.0NRT,288.56,1.35,N
-15.21248,27.02389,315.58,0.34,0.56,2023-04-26,0003,1,nominal,2.0NRT,290.82,1.92,N
-16.72994,23.35547,300.29,0.41,0.45,2023-04-26,0003,1,nominal,2.0NRT,287.31,0.45,N
-18.05162,30.37841,297.58,0.61,0.71,2023-04-26,0005,1,nominal,2.0NRT,284.85,0.77,N
-18.45374,29.43464,308.91,0.53,0.67,2023-04-26,0005,1,nominal,2.0NRT,288.11,1.3,N
-18.45246,29.43717,304.2,0.54,0.68,2023-04-26,0005,1,nominal,2.0NRT,288.2,1.29,N
-17.82997,22.46504,307.81,0.56,0.43,2023-04-26,0005,1,nominal,2.0NRT,289.52,1.63,N
-16.81804,15.56738,306.83,0.42,0.38,2023-04-26,0005,1,nominal,2.0NRT,291.38,0.54,N
-18.36771,26.47574,310.71,0.34,0.56,2023-04-26,0005,1,nominal,2.0NRT,291.09,1.55,N
-18.36807,26.47893,318.96,0.34,0.56,2023-04-26,0005,1,nominal,2.0NRT,294.73,1.55,N
-18.34842,26.42243,299.7,0.34,0.56,2023-04-26,0005,1,nominal,2.0NRT,289.48,0.14,N
-18.36997,26.47756,331.44,0.34,0.56,2023-04-26,0005,1,nominal,2.0NRT,295.49,3.02,N
-18.372,26.44786,331.47,0.34,0.56,2023-04-26,0005,1,nominal,2.0NRT,292.07,2.55,N
-18.37304,26.45757,304.06,0.34,0.56,2023-04-26,0005,1,nominal,2.0NRT,291.6,1.03,N
-18.4211,26.46703,307.78,0.34,0.56,2023-04-26,0005,1,nominal,2.0NRT,292.24,0.87,N
-18.42652,26.42188,319.15,0.34,0.56,2023-04-26,0005,1,nominal,2.0NRT,293.44,2.08,N
-18.43354,26.48483,315.31,0.34,0.56,2023-04-26,0005,1,nominal,2.0NRT,293.03,2.86,N
-19.46221,29.79718,297.87,0.58,0.7,2023-04-26,0005,1,nominal,2.0NRT,286.91,1.36,N
-19.08941,22.65688,345.06,0.39,0.44,2023-04-26,0005,1,nominal,2.0NRT,301.7,9.56,N
-19.08988,22.66062,354.23,0.39,0.44,2023-04-26,0005,1,nominal,2.0NRT,318.14,31.29,N
-19.09035,22.66437,348.41,0.39,0.44,2023-04-26,0005,1,nominal,2.0NRT,303.54,31.29,N
-19.09346,22.6563,345.18,0.39,0.44,2023-04-26,0005,1,nominal,2.0NRT,301.86,9.56,N
-19.09393,22.66005,367,0.39,0.44,2023-04-26,0005,1,high,2.0NRT,317.52,31.29,N
-19.0944,22.66379,349.61,0.39,0.44,2023-04-26,0005,1,nominal,2.0NRT,328.88,31.29,N
-19.09488,22.66754,354.19,0.39,0.44,2023-04-26,0005,1,nominal,2.0NRT,317.03,29.99,N
-19.09534,22.67128,339.22,0.39,0.44,2023-04-26,0005,1,nominal,2.0NRT,300.23,29.99,N
-19.09299,22.65256,317.18,0.39,0.44,2023-04-26,0005,1,nominal,2.0NRT,289.65,9.56,N
-19.0994,22.67071,352.41,0.39,0.44,2023-04-26,0005,1,nominal,2.0NRT,304.15,17.61,N
-19.09987,22.67446,348.94,0.39,0.44,2023-04-26,0005,1,nominal,2.0NRT,318.55,16.81,N
-19.10034,22.67821,327.17,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,291.64,16.81,N
-19.09893,22.66696,314.09,0.39,0.44,2023-04-26,0005,1,nominal,2.0NRT,292.89,17.61,N
-19.1044,22.67764,355.04,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,307.4,16.81,N
-19.10487,22.68139,336.71,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,296.52,9.71,N
-19.10204,22.6589,302.4,0.39,0.44,2023-04-26,0005,1,nominal,2.0NRT,292.33,3.19,N
-19.10392,22.67389,312.79,0.39,0.44,2023-04-26,0005,1,nominal,2.0NRT,295.35,16.81,N
-19.10846,22.67706,330.43,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,298.59,4.06,N
-19.10893,22.68081,355.02,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,306.16,5.77,N
-19.1094,22.68457,328.35,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,292.49,5.77,N
-19.10514,22.65084,310.26,0.39,0.44,2023-04-26,0005,1,nominal,2.0NRT,293.92,2.59,N
-19.10798,22.67331,305.66,0.39,0.44,2023-04-26,0005,1,nominal,2.0NRT,292.87,4.06,N
-19.11346,22.68399,331.11,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,297.07,5.77,N
-19.11393,22.68775,324.3,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,291.57,3.25,N
-19.11156,22.66899,302.31,0.39,0.44,2023-04-26,0005,1,nominal,2.0NRT,290.11,2.55,N
-19.11299,22.68024,319.8,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,296.24,5.77,N
-19.08009,22.38997,306.3,0.57,0.43,2023-04-26,0005,1,nominal,2.0NRT,292.18,2.03,N
-19.08079,22.39538,310.57,0.57,0.43,2023-04-26,0005,1,nominal,2.0NRT,292.36,2.03,N
-19.11752,22.68342,303.52,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,292.8,1.38,N
-19.118,22.68718,318.94,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,294.05,1.8,N
-19.08338,22.38399,322.72,0.57,0.43,2023-04-26,0005,1,nominal,2.0NRT,294.7,5.87,N
-19.08408,22.38939,302.44,0.57,0.43,2023-04-26,0005,1,nominal,2.0NRT,290.79,2.03,N
-19.12158,22.68285,299.95,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,289.67,1.38,N
-19.12205,22.6866,306.69,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,290.25,1.8,N
-19.12253,22.69036,307.05,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,287.54,1.8,N
-19.12564,22.68227,297.77,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,287.53,1.03,N
-19.13017,22.68546,323.97,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,287.75,2.36,N
-19.21,22.6945,298.14,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,287.46,0.55,N
-19.21407,22.69393,299.34,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,289.08,0.55,N
-19.21454,22.6977,304.8,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,290.45,1.3,N
-19.18575,22.4375,325.46,0.38,0.43,2023-04-26,0005,1,nominal,2.0NRT,293.27,1.99,N
-19.18929,22.43329,309.74,0.38,0.43,2023-04-26,0005,1,nominal,2.0NRT,288.59,2.37,N
-19.18975,22.43693,308.45,0.38,0.43,2023-04-26,0005,1,nominal,2.0NRT,291.81,1.99,N
-19.22817,22.70731,307.38,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,291.18,1.13,N
-19.28788,22.88225,307.76,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,287.61,0.79,N
-19.28838,22.88613,298.8,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,287.48,0.79,N
-19.29399,22.89722,298.29,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,286.3,0.66,N
-19.30124,22.88829,308.65,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,287.76,0.88,N
-19.30273,22.89996,303.78,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,287.62,0.55,N
-19.3136,22.88655,304.46,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,287.19,0.92,N
-19.34576,22.85532,323.41,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,294.08,3.82,N
-19.34624,22.8592,327.76,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,298.5,6.52,N
-19.34987,22.85473,321.59,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,292.45,3.82,N
-19.35036,22.85862,340.8,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,299.58,6.52,N
-19.34745,22.83536,302.32,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,288.51,1.81,N
-19.3477,22.80391,301.92,0.4,0.45,2023-04-26,0005,1,nominal,2.0NRT,288.34,2.25,N
-19.35447,22.85804,305.38,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,289.58,1.62,N
-19.3569,22.87747,310.49,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,286.77,1.07,N
-19.3518,22.80333,318.49,0.4,0.45,2023-04-26,0005,1,nominal,2.0NRT,293.72,2.25,N
-19.36102,22.8769,309.87,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,286.35,1.07,N
-19.33379,22.62782,301.13,0.39,0.44,2023-04-26,0005,1,nominal,2.0NRT,288.09,1.14,N
-19.36271,22.85688,315.71,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,291.61,3.23,N
-19.36319,22.86076,307.18,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,291.98,3.23,N
-19.36682,22.8563,329.15,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,293.83,3.23,N
-19.36731,22.86019,326.43,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,297.7,3.23,N
-19.36829,22.86796,326.32,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,287.2,2.54,N
-19.36146,22.81373,309.7,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,291.51,2.13,N
-19.3678,22.86408,308.75,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,286.21,2.54,N
-19.37143,22.85961,299.17,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,286.67,0.96,N
-19.37192,22.8635,315.89,0.41,0.45,2023-04-26,0005,1,nominal,2.0NRT,286,1.74,N
-19.3589,22.6626,316.88,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,286.02,1.1,N
-19.36296,22.66202,319.81,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,287.68,2.53,N
-19.46158,22.65601,297.78,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,287.52,0.52,N
-19.46372,22.6403,299.28,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,288.23,1.03,N
-19.46469,22.64786,297.58,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,287.57,1.23,N
-19.46565,22.65544,297.92,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,287.27,0.52,N
-19.46682,22.63217,310.05,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,288.61,2.74,N
-19.46924,22.65107,299.96,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,287.51,0.62,N
-19.47088,22.6316,333.35,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,289.51,2.74,N
-19.47185,22.63915,313.57,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,288.99,1.93,N
-19.47331,22.65049,299.82,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,288.16,0.62,N
-19.47379,22.65428,303.79,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,288.07,1.12,N
-19.4764,22.64235,310.58,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,288.92,1.54,N
-19.48518,22.61422,317.5,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,288.42,1.27,N
-19.48924,22.61365,310.9,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,288.19,1.59,N
-19.48973,22.61741,300.37,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,287.36,1.59,N
-19.4938,22.61684,331.01,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,288.43,1.59,N
-19.50241,22.61947,312.1,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,288.57,0.88,N
-19.5029,22.62324,303.59,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,287.61,0.88,N
-19.50598,22.61513,299.23,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,287.42,0.79,N
-19.50697,22.62267,310.08,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,286.81,1.2,N
-19.50955,22.61079,308.3,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,287.35,0.79,N
-19.50598,22.61588,300.54,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,287.37,0.86,N
-19.50691,22.62344,310.29,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,286.61,1.08,N
-19.50957,22.61153,309.99,0.4,0.44,2023-04-26,0005,1,nominal,2.0NRT,287.24,0.86,N
-19.22326,17.72341,309.04,0.39,0.36,2023-04-26,0005,1,nominal,2.0NRT,289.97,1.38,N
-24.10729,30.02112,295.26,0.67,0.73,2023-04-26,0005,1,nominal,2.0NRT,283.21,0.78,N
-24.57423,30.82678,300.86,0.76,0.77,2023-04-26,0005,1,nominal,2.0NRT,283.9,4.4,N
-24.5745,30.83138,300.97,0.76,0.77,2023-04-26,0005,1,nominal,2.0NRT,283.95,3.39,N
-24.55304,30.14973,300.23,0.69,0.74,2023-04-26,0005,1,nominal,2.0NRT,284.96,0.92,N
-24.55319,30.14429,301.75,0.69,0.74,2023-04-26,0005,1,nominal,2.0NRT,284.97,1.48,N
-24.73659,30.19945,309.17,0.69,0.74,2023-04-26,0005,1,nominal,2.0NRT,285.9,2.11,N
-24.74306,30.19196,300.96,0.69,0.74,2023-04-26,0005,1,nominal,2.0NRT,285.88,1.26,N
-24.54362,27.36175,302.04,0.46,0.63,2023-04-26,0005,1,nominal,2.0NRT,286.13,0.64,N
-24.54912,27.35673,331.81,0.46,0.63,2023-04-26,0005,1,nominal,2.0NRT,289.22,2.75,N
-24.54878,27.35272,302.18,0.46,0.63,2023-04-26,0005,1,nominal,2.0NRT,286.78,2.75,N
-24.54945,27.36081,301.29,0.46,0.63,2023-04-26,0005,1,nominal,2.0NRT,287.61,2.74,N
-24.55468,27.35266,335.48,0.46,0.63,2023-04-26,0005,1,nominal,2.0NRT,288.52,2.75,N
-24.55499,27.35631,314.95,0.46,0.63,2023-04-26,0005,1,nominal,2.0NRT,288.68,2.75,N
-24.81442,30.11712,328.12,0.69,0.74,2023-04-26,0005,1,nominal,2.0NRT,286.96,5.28,N
-24.81483,30.11586,320.56,0.69,0.74,2023-04-26,0005,1,nominal,2.0NRT,286.51,3.11,N
-24.81524,30.12251,301.99,0.69,0.74,2023-04-26,0005,1,nominal,2.0NRT,287.06,3.11,N
-25.06474,29.59863,323.5,0.64,0.72,2023-04-26,0007,1,nominal,2.0NRT,285.37,3.26,N
-25.07106,29.59254,298.41,0.64,0.72,2023-04-26,0007,1,nominal,2.0NRT,285.44,1.71,N
-25.06714,29.58939,304.88,0.64,0.72,2023-04-26,0007,1,nominal,2.0NRT,285.54,2.03,N
-25.06752,29.59548,306.93,0.64,0.72,2023-04-26,0007,1,nominal,2.0NRT,285.66,2.64,N
-25.06794,29.60228,309.66,0.64,0.72,2023-04-26,0007,1,nominal,2.0NRT,285.69,2.64,N
-24.97961,27.54698,300.03,0.47,0.64,2023-04-26,0007,1,nominal,2.0NRT,285.77,1.02,N
-24.70163,23.57061,298.89,0.53,0.5,2023-04-26,0007,1,nominal,2.0NRT,285.46,0.98,N
-24.70626,23.57002,299.17,0.53,0.5,2023-04-26,0007,1,nominal,2.0NRT,285.46,0.98,N
-25.32157,29.57086,305.06,0.64,0.72,2023-04-26,0007,1,nominal,2.0NRT,284.4,1.24,N
-25.32196,29.57696,300.39,0.64,0.72,2023-04-26,0007,1,nominal,2.0NRT,285.05,1.72,N
-25.48762,27.09843,309.16,0.45,0.63,2023-04-26,0007,1,nominal,2.0NRT,286.23,1.9,N
-25.48799,27.10301,298.61,0.45,0.63,2023-04-26,0007,1,nominal,2.0NRT,286.49,1.69,N
-25.57081,27.58315,303.23,0.48,0.65,2023-04-26,0007,1,nominal,2.0NRT,285.77,1.61,N
-25.65736,27.84242,297.11,0.5,0.66,2023-04-26,0007,1,nominal,2.0NRT,286.64,1.32,N
-25.66308,27.83688,295.65,0.5,0.66,2023-04-26,0007,1,nominal,2.0NRT,285.45,0.93,N
-25.6204,27.22064,308.39,0.46,0.63,2023-04-26,0007,1,nominal,2.0NRT,289.76,1.86,N
-25.62078,27.22535,316.02,0.46,0.63,2023-04-26,0007,1,nominal,2.0NRT,289.4,1.86,N
-25.80087,29.49292,301.52,0.64,0.72,2023-04-26,0007,1,nominal,2.0NRT,284.81,2.91,N
-25.80758,29.49245,299.04,0.64,0.72,2023-04-26,0007,1,nominal,2.0NRT,283.05,0.68,N
-25.65788,27.83978,298.04,0.5,0.66,2023-04-26,0007,1,nominal,2.0NRT,287.37,0.78,N
-25.65822,27.8446,299.95,0.5,0.66,2023-04-26,0007,1,nominal,2.0NRT,286.41,0.78,N
-25.61894,27.21764,298.38,0.46,0.63,2023-04-26,0007,1,nominal,2.0NRT,286.56,0.71,N
-25.6193,27.22236,298.94,0.46,0.63,2023-04-26,0007,1,nominal,2.0NRT,288.72,1.59,N
-25.66397,27.83907,297.8,0.5,0.66,2023-04-26,0007,1,nominal,2.0NRT,284.84,0.78,N
-25.62517,27.2217,305.06,0.46,0.63,2023-04-26,0007,1,nominal,2.0NRT,285.5,1,N
-25.62553,27.22643,302.69,0.46,0.63,2023-04-26,0007,1,nominal,2.0NRT,287.26,1,N
-25.80408,29.4913,305.74,0.64,0.72,2023-04-26,0007,1,nominal,2.0NRT,283.67,1.81,N
-25.80444,29.4973,298.16,0.64,0.72,2023-04-26,0007,1,nominal,2.0NRT,283.35,1.81,N
