latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-13.07024,133.77693,335.82,1.51,1.21,2022-05-03,0100,T,86,6.1NRT,301.46,51.85,D
-13.07244,133.79068,333.04,1.51,1.21,2022-05-03,0100,T,84,6.1NRT,301.58,44.14,D
-13.07444,133.78436,339.83,1.51,1.21,2022-05-03,0100,T,89,6.1NRT,302.37,62.33,D
-13.21134,133.50896,315.11,1.57,1.24,2022-05-03,0100,T,41,6.1NRT,301.43,8.75,D
-13.21363,133.52321,323.06,1.57,1.23,2022-05-03,0100,T,74,6.1NRT,302.32,23.2,D
-13.21401,133.51709,324.92,1.57,1.23,2022-05-03,0100,T,75,6.1NRT,302.03,26.25,D
-13.20232,132.15155,314.64,1.98,1.37,2022-05-03,0100,T,48,6.1NRT,299.91,12.69,D
-13.32111,132.23447,315.23,1.94,1.36,2022-05-03,0100,T,57,6.1NRT,300.76,13.88,D
-13.31823,131.99297,341.49,2.02,1.39,2022-05-03,0100,T,90,6.1NRT,301.26,101.76,D
-13.32134,132.01149,332.09,2.02,1.38,2022-05-03,0100,T,83,6.1NRT,300.9,61.08,D
-13.33063,131.99078,320.3,2.02,1.39,2022-05-03,0100,T,64,6.1NRT,298.65,25.82,D
-13.33375,132.00951,326.57,2.02,1.38,2022-05-03,0100,T,78,6.1NRT,299.43,43.53,D
-13.31989,131.9866,335.66,2.02,1.39,2022-05-03,0100,T,86,6.1NRT,299.72,77.61,D
-13.32313,132.00511,345.12,2.02,1.38,2022-05-03,0100,T,92,6.1NRT,301.4,120.52,D
-13.3883,132.08795,318.18,1.98,1.37,2022-05-03,0100,T,66,6.1NRT,300.17,20.44,D
-13.46168,132.1494,321.24,1.96,1.37,2022-05-03,0100,T,66,6.1NRT,301.62,20.06,D
-13.46465,132.16734,323.89,1.95,1.36,2022-05-03,0100,T,73,6.1NRT,301.39,29.25,D
-13.45516,132.16191,320.06,1.95,1.36,2022-05-03,0100,T,48,6.1NRT,301.37,19.06,D
-13.46739,132.1599,319.42,1.95,1.36,2022-05-03,0100,T,39,6.1NRT,301.54,16.85,D
-13.51011,132.11534,320.58,1.96,1.37,2022-05-03,0100,T,64,6.1NRT,299.67,25.42,D
-13.92195,133.55467,317.08,1.52,1.22,2022-05-03,0100,T,61,6.1NRT,299.02,11.27,D
-14.50739,133.19099,315.07,1.57,1.24,2022-05-03,0100,T,40,6.1NRT,300.04,8.56,D
-14.30342,131.13542,348.41,2.25,1.45,2022-05-03,0100,T,94,6.1NRT,301.5,165.3,D
-14.30698,131.15634,323.55,2.24,1.45,2022-05-03,0100,T,27,6.1NRT,301.5,39.53,D
-14.29151,131.15314,314.98,2.24,1.45,2022-05-03,0100,T,26,6.1NRT,299.82,18.13,D
-14.3008,131.13007,328.29,2.25,1.45,2022-05-03,0100,T,80,6.1NRT,300.2,62.97,D
-14.3045,131.15085,330.37,2.24,1.45,2022-05-03,0100,T,82,6.1NRT,301.55,69.98,D
-14.31194,131.19275,314.78,2.23,1.45,2022-05-03,0100,T,24,6.1NRT,299.75,15.72,D
-14.3138,131.1277,335.62,2.25,1.45,2022-05-03,0100,T,86,6.1NRT,298.94,95.51,D
-14.31747,131.14845,344.22,2.24,1.45,2022-05-03,0100,T,92,6.1NRT,300.04,139.52,D
-14.33779,131.188,329.77,2.23,1.45,2022-05-03,0100,T,81,6.1NRT,299.82,64.8,D
-14.36722,131.20387,315.14,2.22,1.44,2022-05-03,0100,T,40,6.1NRT,299.04,18.42,D
-14.3707,131.22398,332.61,2.21,1.44,2022-05-03,0100,T,84,6.1NRT,300.65,78.35,D
-14.38146,131.21535,325.95,2.21,1.44,2022-05-03,0100,T,77,6.1NRT,298.74,52.7,D
-14.64174,131.42035,323.33,2.11,1.41,2022-05-03,0100,T,73,6.1NRT,299.07,38.35,D
-14.63027,131.28023,324.48,2.16,1.43,2022-05-03,0100,T,76,6.1NRT,299.65,40.93,D
-14.68285,131.43222,315.9,2.1,1.41,2022-05-03,0100,T,45,6.1NRT,300.16,18.16,D
-15.31822,134.07362,320.71,1.33,1.14,2022-05-03,0100,T,62,6.1NRT,303.7,11,D
-15.95916,136.23781,324.14,1.04,1.02,2022-05-03,0100,T,69,6.1NRT,307.71,11.02,D
-15.2546,131.16267,318.48,2.15,1.42,2022-05-03,0100,T,44,6.1NRT,300.7,20.84,D
-15.25808,131.18243,333,2.14,1.42,2022-05-03,0100,T,83,6.1NRT,300.76,71.45,D
-16.18406,136.25842,320.56,1.04,1.02,2022-05-03,0102,T,34,6.1NRT,306.46,6.74,D
-16.19319,136.25697,320.74,1.04,1.02,2022-05-03,0102,T,56,6.1NRT,306.35,7.19,D
-16.19465,136.2666,322.81,1.04,1.02,2022-05-03,0102,T,66,6.1NRT,307.14,8.94,D
-16.29289,136.2449,322.46,1.04,1.02,2022-05-03,0102,T,64,6.1NRT,308.55,7.66,D
-17.16527,136.59525,320.68,1.01,1,2022-05-03,0102,T,40,6.1NRT,306.29,6.36,D
-15.72634,127.77744,324.69,3.78,1.82,2022-05-03,0102,T,74,6.1NRT,299.05,98.96,D
-15.71664,127.77419,318.2,3.78,1.82,2022-05-03,0102,T,59,6.1NRT,299.28,55.87,D
-15.73262,127.76978,316.22,3.78,1.82,2022-05-03,0102,T,50,6.1NRT,298.61,44.45,D
-15.73925,127.80406,314.36,3.75,1.81,2022-05-03,0102,T,25,6.1NRT,298.84,32.17,D
-18.51152,130.59242,317.32,2.04,1.39,2022-05-03,0102,T,51,6.1NRT,300.78,15.96,D
-18.51218,130.58519,321.52,2.04,1.39,2022-05-03,0102,T,67,6.1NRT,301.35,26.33,D
-19.4769,133.37372,337.11,1.28,1.12,2022-05-03,0102,T,86,6.1NRT,304.89,38.77,D
-19.4789,133.38571,324.99,1.27,1.12,2022-05-03,0102,T,70,6.1NRT,303.25,16.01,D
-33.01302,137.59116,309.16,1.35,1.15,2022-05-03,0105,T,0,6.1NRT,293.92,9.33,D
-33.00639,135.0132,307.88,1.05,1.02,2022-05-03,0105,T,58,6.1NRT,295.26,5.9,D
-34.33538,140.34512,308.9,2.07,1.4,2022-05-03,0105,T,59,6.1NRT,295.12,14.36,D
-36.65549,140.50926,309.62,2.26,1.46,2022-05-03,0107,T,65,6.1NRT,291.86,21.42,D
-36.65754,140.53479,312.01,2.27,1.46,2022-05-03,0107,T,72,6.1NRT,291.46,27.43,D
-36.65338,140.5298,314.28,2.27,1.46,2022-05-03,0107,T,75,6.1NRT,291.57,35.54,D
-20.23645,-40.23815,307.08,2.18,1.43,2022-05-03,0139,T,70,6.1NRT,293.29,19.25,N
-20.31322,-45.48074,301.6,1.06,1.03,2022-05-03,0139,T,43,6.1NRT,274.53,8.78,N
-20.7588,-49.194,301.38,1.13,1.06,2022-05-03,0139,T,41,6.1NRT,291.37,5.85,N
-19.1728,-49.42118,301.54,1.11,1.05,2022-05-03,0139,T,42,6.1NRT,290.53,5.69,N
-18.32523,-49.87719,334.02,1.15,1.07,2022-05-03,0141,T,100,6.1NRT,291.96,42.23,N
-18.32663,-49.8881,316.03,1.15,1.07,2022-05-03,0141,T,92,6.1NRT,291.14,17.75,N
