latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-8.86545,25.99229,300.61,2.57,1.54,2022-04-29,0018,A,31,6.1NRT,290.31,13.95,N
-16.4971,17.81118,303.19,1.02,1.01,2022-04-29,0020,A,54,6.1NRT,288.37,6.47,N
36.94187,30.65147,303.46,1.03,1.01,2022-04-29,0005,A,55,6.1NRT,286.88,7.54,N
30.76989,27.10958,300.01,1.01,1,2022-04-29,0007,A,8,6.1NRT,286.38,5.01,N
28.91331,20.96057,312,1.87,1.34,2022-04-29,0007,A,84,6.1NRT,293.39,27.32,N
27.65355,22.48466,306.7,1.43,1.18,2022-04-29,0007,A,69,6.1NRT,295.39,10.85,N
50.31429,46.4116,300.12,2.73,1.58,2022-04-29,0001,A,17,6.1NRT,277.81,34.77,N
50.31042,46.40503,302.08,2.73,1.58,2022-04-29,0001,A,47,6.1NRT,279.11,39.14,N
50.15531,36.24728,301.86,1.05,1.03,2022-04-29,0003,A,45,6.1NRT,275.05,9.97,N
47.11142,37.60566,303.07,1.29,1.13,2022-04-29,0003,A,53,6.1NRT,282.21,12.48,N
48.62538,134.03027,315.81,3.47,1.75,2022-04-29,0109,T,66,6.1NRT,288.98,80.18,D
48.61083,133.98186,310.86,3.49,1.76,2022-04-29,0109,T,66,6.1NRT,288.88,57.12,D
48.61749,133.97636,311.92,3.49,1.76,2022-04-29,0109,T,46,6.1NRT,288.86,57.5,D
48.61594,134.02399,317.86,3.47,1.75,2022-04-29,0109,T,73,6.1NRT,289.27,87.14,D
48.45711,132.94797,302.07,3.95,1.85,2022-04-29,0109,T,41,6.1NRT,288.22,34.16,D
48.45223,132.94189,304.65,3.95,1.85,2022-04-29,0109,T,51,6.1NRT,288.14,44.98,D
48.3894,132.72072,306.52,4.05,1.87,2022-04-29,0109,T,64,6.1NRT,284.74,61.46,D
48.38575,132.71207,308.18,4.05,1.87,2022-04-29,0109,T,67,6.1NRT,284.62,66.67,D
47.8321,135.06873,321.2,3.02,1.65,2022-04-29,0109,T,81,6.1NRT,287.98,93.38,D
47.83057,135.10927,318.96,3,1.65,2022-04-29,0109,T,79,6.1NRT,286.38,83.38,D
47.83284,135.0629,316.53,3.02,1.65,2022-04-29,0109,T,66,6.1NRT,288.01,68.87,D
47.83112,135.10341,323.36,3,1.65,2022-04-29,0109,T,82,6.1NRT,286.5,102.03,D
47.81364,132.27142,302.42,4.25,1.91,2022-04-29,0109,T,52,6.1NRT,287.94,35.65,D
47.81148,132.26324,303.87,4.25,1.91,2022-04-29,0109,T,54,6.1NRT,287.85,42.69,D
46.83445,142.52068,302.07,1.23,1.1,2022-04-29,0109,T,41,6.1NRT,286.62,5.67,D
44.81937,136.30042,334.06,2.42,1.5,2022-04-29,0109,T,89,6.1NRT,294.97,105.07,D
44.8075,136.26979,322.61,2.43,1.5,2022-04-29,0109,T,57,6.1NRT,295.71,55.27,D
44.80584,136.29912,355.46,2.42,1.5,2022-04-29,0109,T,98,6.1NRT,295.22,250.55,D
44.81175,136.2924,345.37,2.42,1.5,2022-04-29,0109,T,94,6.1NRT,295.76,177.73,D
44.80986,136.32269,314.71,2.41,1.5,2022-04-29,0109,T,26,6.1NRT,292.63,31.21,D
44.7982,136.29141,348.3,2.42,1.5,2022-04-29,0109,T,95,6.1NRT,292.97,197.68,D
44.34788,131.91766,304.33,4.25,1.91,2022-04-29,0109,T,49,6.1NRT,292.12,28.39,D
44.35537,131.46909,310.36,4.5,1.95,2022-04-29,0109,T,70,6.1NRT,296,50.46,D
44.18734,135.51265,313.58,2.64,1.56,2022-04-29,0109,T,74,6.1NRT,293.72,38.5,D
44.28665,132.22417,326.26,4.08,1.87,2022-04-29,0109,T,84,6.1NRT,295.68,150.45,D
