latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
70.68861,23.59455,303.74,0.55,0.51,2022-05-05,0005,N,nominal,2.0NRT,267.65,1.51,N
65.7709,24.18586,322.47,0.48,0.48,2022-05-05,0005,N,nominal,2.0NRT,271.97,2.87,N
65.77034,24.19649,306.27,0.48,0.48,2022-05-05,0005,N,nominal,2.0NRT,269.86,2.21,N
65.76643,24.1844,315.8,0.48,0.48,2022-05-05,0005,N,nominal,2.0NRT,271.86,2.87,N
56.61094,61.41558,297.6,0.75,0.77,2022-05-05,0005,N,nominal,2.0NRT,273.76,1.35,N
56.61315,61.42103,296.43,0.75,0.77,2022-05-05,0005,N,nominal,2.0NRT,273.48,1.03,N
64.64394,24.42181,298.52,0.46,0.47,2022-05-05,0005,N,nominal,2.0NRT,266.74,1.15,N
36.9645,35.45063,297.46,0.33,0.55,2022-05-05,0011,N,nominal,2.0NRT,285.91,0.51,N
38.7554,26.95157,302.08,0.4,0.37,2022-05-05,0011,N,nominal,2.0NRT,283.26,0.61,N
38.75207,26.95064,298.2,0.4,0.37,2022-05-05,0011,N,nominal,2.0NRT,284.19,0.61,N
39.35456,22.98427,302.08,0.41,0.37,2022-05-05,0011,N,nominal,2.0NRT,285.29,0.83,N
38.74543,26.94876,299.33,0.4,0.37,2022-05-05,0011,N,nominal,2.0NRT,283.76,0.63,N
38.74486,26.94642,304.11,0.4,0.37,2022-05-05,0011,N,nominal,2.0NRT,283.81,1.31,N
38.74409,26.95096,307.59,0.4,0.37,2022-05-05,0011,N,nominal,2.0NRT,284.03,1.31,N
38.74052,26.93104,296.89,0.4,0.37,2022-05-05,0011,N,nominal,2.0NRT,285.76,0.83,N
38.7382,26.94458,296.76,0.4,0.37,2022-05-05,0011,N,nominal,2.0NRT,285.99,0.95,N
38.73744,26.94908,302.05,0.4,0.37,2022-05-05,0011,N,nominal,2.0NRT,284.31,0.95,N
38.72493,26.94072,295.12,0.4,0.37,2022-05-05,0011,N,nominal,2.0NRT,282.69,0.32,N
